emp_id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary
emp_9839,1,0.61,3,188,4,0,0,0,product_mng,low
emp_7690,0.16,0.78,4,196,5,0,0,0,technical,high
emp_6558,0.8,0.8,3,175,2,0,0,0,RandD,medium
emp_6873,0.66,0.86,4,112,6,0,0,0,accounting,medium
emp_821,0.11,0.93,7,284,4,0,1,0,technical,low
emp_1644,0.09,0.83,6,295,5,0,1,0,technical,low
emp_7218,0.41,0.48,3,155,2,1,0,0,technical,medium
emp_8352,0.6,0.76,5,168,2,1,0,0,accounting,high
emp_2632,0.31,0.49,4,165,3,1,0,0,technical,low
emp_108,0.44,0.5,2,148,3,0,1,0,accounting,medium
emp_10330,0.56,0.57,4,161,3,0,0,0,sales,medium
emp_368,0.4,0.56,2,131,3,0,1,0,IT,low
emp_8217,0.39,0.85,5,179,5,0,0,0,support,low
emp_417,0.82,1,4,229,6,0,1,0,hr,medium
emp_2421,0.15,0.51,6,248,5,0,0,0,support,low
emp_730,0.09,0.83,6,282,4,0,1,0,technical,medium
emp_13627,0.69,0.51,3,257,3,1,0,0,IT,low
emp_4171,0.92,0.46,5,195,5,0,0,0,support,low
emp_6190,0.15,0.91,6,281,3,0,0,0,marketing,low
emp_12753,0.37,0.57,2,129,3,0,1,0,product_mng,low
emp_10386,0.99,0.5,4,173,3,0,0,0,management,low
emp_5779,0.7,0.92,4,142,2,1,0,0,support,medium
emp_6207,0.48,0.84,3,146,2,1,0,0,sales,medium
emp_2389,0.72,0.51,3,235,2,0,0,0,sales,low
emp_12620,0.43,0.51,2,141,3,0,1,0,sales,low
emp_4895,0.5,0.4,3,180,4,0,0,0,sales,medium
emp_6587,0.15,0.74,6,178,3,0,0,0,sales,low
emp_8440,0.77,0.5,4,173,2,1,0,0,technical,low
emp_5095,0.96,0.51,3,237,4,0,0,0,technical,high
emp_4748,0.78,0.58,3,224,2,0,0,0,sales,medium
emp_511,0.44,0.48,2,146,3,0,1,0,support,low
emp_701,0.46,0.54,2,143,3,0,1,0,sales,medium
emp_6680,0.72,0.61,5,170,3,0,0,0,technical,medium
emp_11136,0.56,0.48,5,192,2,1,0,0,technical,medium
emp_2629,0.64,0.52,4,207,3,0,0,0,hr,low
emp_3680,0.84,0.53,3,237,3,1,0,0,sales,low
emp_1278,0.78,1,4,267,5,0,1,0,technical,medium
emp_5227,0.93,0.94,3,183,2,0,0,0,technical,low
emp_2031,0.85,0.59,3,235,3,0,0,0,support,low
emp_5072,0.69,0.74,4,237,3,0,0,0,technical,low
emp_40,0.41,0.54,2,152,3,0,1,0,technical,low
emp_1892,0.37,0.49,2,138,3,0,1,0,technical,low
emp_7875,0.86,0.64,4,263,3,0,0,0,sales,medium
emp_4786,0.83,0.84,3,249,2,0,0,0,support,medium
